recid	lon	lat	avgt
21047843000	 128.83	 32.70	  8.31
21047891000	 134.05	 34.32	  6.48
21047898000	 133.02	 32.72	  9.81
21047909000	 129.50	 28.38	 15.27
21047918000	 124.17	 24.33	 19.17
21047927000	 125.28	 24.78	  18.6
21047936000	 127.68	 26.20	  17.5
21047945000	 131.23	 25.83	 18.25
21047991000	 153.97	 24.30	 22.22
21941598000	  73.72	 32.93	 13.88
21941624000	  70.92	 31.82	 14.05
21941640000	  74.33	 31.55	 14.75
21941660000	  66.90	 30.30	  5.93
21941675000	  71.43	 30.20	 14.55
21941715000	  68.47	 28.30	  16.8
21941739000	  64.10	 26.97	 12.55
21941780000	  67.13	 24.90	 20.13
22147115000	 130.90	 37.48	  2.74
22147138000	 129.38	 36.03	  3.48
22147159000	 129.03	 35.10	  4.92
22147165000	 126.38	 34.78	  3.33
22147184000	 126.53	 33.52	  6.91
22223330000	  66.67	 66.53	-21.41
22223933000	  69.03	 61.02	-17.69
22224125000	 112.43	 68.50	-33.45
22224266000	 133.38	 67.55	-42.75
22224641000	 121.62	 63.77	-33.16
22224959000	 129.72	 62.02	-36.11
22225400000	 150.90	 65.73	-34.11
22225954000	 166.00	 60.35	-12.84
22228275000	  68.25	 58.15	 -16.5
22228440000	  60.60	 56.80	-11.91
22228698000	  73.38	 55.02	-15.63
22229263000	  92.15	 58.45	-17.53
22229282000	  97.45	 58.38	-19.66
22229838000	  83.52	 53.43	 -13.8
22229866000	  91.70	 53.70	 -15.2
22231004000	 125.37	 58.62	-24.33
22231168000	 138.15	 56.45	-15.83
22231369000	 140.70	 53.15	-19.25
22231735000	 135.23	 48.53	-17.09
22340394000	  41.68	 27.43	 11.63
22340416000	  50.15	 26.27	 16.75
22340438000	  46.73	 24.72	 15.73
22938507000	  52.98	 40.03	  3.57
22938687000	  63.60	 39.08	  2.97
22938880000	  58.33	 37.97	  4.48
30187047000	 -65.48	-24.85	 21.31
30187078000	 -60.58	-24.70	 27.44
30187155000	 -59.05	-27.45	 26.11
30187270000	 -59.70	-29.18	 25.45
30187349000	 -63.88	-31.67	 23.05
30187395000	 -58.02	-31.30	 24.71
30187509000	 -68.40	-34.58	 22.57
30187534000	 -63.37	-34.13	 22.68
30187548000	 -60.92	-34.55	 22.16
30187860000	 -67.50	-45.78	 18.34
30485406000	 -70.33	-18.33	 21.65
30485442000	 -70.43	-23.43	 19.55
30485469000	-109.42	-27.15	 22.82
30485574000	 -70.78	-33.38	 19.71
30485682000	 -73.05	-36.77	 16.29
30485743000	 -72.63	-38.75	 15.31
30485782000	 -73.05	-40.60	 14.67
30485799000	 -73.08	-41.42	  13.5
30485934000	 -70.85	-53.00	 10.09
42570026000	-156.78	 71.30	-24.27
42570133000	-162.63	 66.87	-17.92
42570174000	-151.52	 66.92	-21.64
42570200000	-165.43	 64.50	-13.45
42570219000	-161.80	 60.78	-12.63
42570231000	-155.62	 62.97	-19.28
42570251000	-150.10	 62.30	 -9.67
42570261000	-147.87	 64.82	-20.67
42570273000	-150.02	 61.17	 -7.86
42570275000	-146.35	 61.13	 -4.03
42570291001	-141.94	 62.97	-24.56
42570296000	-145.50	 60.50	 -3.01
42570308000	-170.22	 57.15	  -3.0
42570316000	-162.72	 55.20	 -1.17
42570326000	-156.65	 58.68	 -7.93
42570350000	-152.50	 57.75	  -0.6
42570361000	-139.67	 59.52	 -2.81
42570381001	-134.41	 58.30	 -2.42
42570398000	-131.57	 55.03	  2.78
42572201000	 -81.75	 24.55	 21.76
42572201001	 -81.68	 24.58	 21.83
42572202000	 -80.28	 25.82	 20.96
42572203000	 -80.10	 26.68	 19.68
42572203001	 -80.63	 26.65	 18.41
42572205000	 -81.32	 28.43	 16.76
42572205002	 -81.05	 29.18	 15.43
42572206000	 -81.70	 30.40	 12.91
42572206002	 -81.88	 30.22	 13.21
42572206003	 -81.67	 30.23	 14.47
42572206005	 -81.42	 30.40	  14.0
42572206006	 -81.47	 30.65	 12.64
42572206007	 -81.38	 31.15	 11.73
42572207000	 -81.20	 32.13	 11.14
42572207002	 -80.77	 32.38	 11.05
42572207003	 -80.72	 32.48	 10.76
42572208001	 -79.93	 32.78	  11.0
42572208002	 -80.18	 32.98	  9.01
42572211000	 -82.53	 27.97	 16.88
42572211001	 -82.75	 28.15	 17.33
42572211003	 -82.32	 28.73	 14.45
42572212001	 -82.08	 29.20	 15.38
42572212002	 -82.27	 29.68	 13.56
42572212003	 -82.60	 30.18	 12.99
42572214000	 -84.37	 30.38	 12.01
42572214001	 -84.65	 30.80	 11.38
42572215001	 -84.78	 33.43	  7.65
42572216002	 -83.53	 31.50	 10.06
42572217000	 -83.65	 32.70	  8.98
42572217002	 -83.47	 32.27	  8.86
42572217004	 -83.25	 33.08	  8.08
42572218000	 -81.97	 33.37	  8.61
42572218002	 -81.32	 33.37	   9.3
42572218003	 -82.65	 33.42	  7.34
42572219000	 -84.42	 33.65	  7.89
42572219001	 -83.87	 33.60	  6.65
42572220001	 -85.03	 29.73	 12.82
42572223000	 -88.25	 30.68	 11.27
42572223001	 -88.48	 30.40	 10.59
42572223003	 -87.88	 30.55	 11.27
42572225002	 -84.95	 32.52	  9.58
42572225004	 -85.18	 32.87	  7.74
42572226000	 -86.40	 32.30	  9.43
42572226001	 -85.95	 31.78	  9.18
42572226002	 -86.32	 31.95	   9.0
42572226006	 -87.00	 32.42	  9.34
42572227002	 -84.02	 34.55	  4.48
42572228000	 -86.75	 33.57	  7.64
42572229001	 -87.58	 32.70	  9.67
42572229002	 -87.62	 33.23	  8.68
42572231002	 -90.73	 29.58	 12.74
42572231003	 -90.78	 29.77	 12.79
42572231004	 -91.55	 29.82	 12.31
42572231005	 -90.02	 29.82	 12.47
42572231006	 -90.13	 29.92	 13.41
42572231008	 -91.03	 30.07	 11.85
42572231009	 -91.13	 30.53	 11.55
42572233001	 -89.38	 30.30	 10.69
42572233002	 -90.12	 30.53	 11.61
42572233003	 -90.53	 30.70	 10.67
42572233004	 -89.55	 30.85	 10.72
42572233006	 -89.83	 31.25	 10.05
42572233007	 -89.30	 31.32	 10.17
42572234000	 -88.75	 32.33	  9.17
42572234001	 -89.12	 31.68	  9.33
42572234003	 -87.73	 31.92	   8.9
42572234004	 -88.57	 32.55	  8.81
42572234005	 -88.13	 32.83	  7.79
42572234006	 -89.07	 33.13	  7.33
42572235000	 -90.08	 32.32	  8.86
42572235001	 -90.45	 31.55	   9.0
42572235002	 -90.10	 31.55	  9.19
42572235003	 -91.23	 31.95	  9.78
42572235005	 -90.37	 31.97	  9.29
42572235011	 -91.02	 33.38	  7.14
42572235012	 -90.52	 33.45	  7.81
42572240000	 -93.22	 30.12	 12.28
42572240001	 -92.67	 30.20	 11.16
42572241001	 -94.02	 29.95	 12.75
42572242000	 -94.80	 29.30	  14.0
42572243000	 -95.35	 29.97	 12.81
42572243002	 -95.28	 29.65	 13.44
42572243005	 -94.80	 30.05	 12.58
42572243006	 -96.40	 30.17	 12.38
42572247001	 -94.35	 32.53	  8.47
42572248000	 -93.78	 32.47	  9.54
42572249001	 -97.82	 32.77	  7.65
42572250000	 -97.42	 25.92	 17.26
42572250003	 -98.87	 26.38	 15.95
42572251000	 -97.50	 27.77	 15.18
42572251001	 -98.13	 27.23	 14.91
42572251002	 -97.82	 27.50	  15.6
42572251004	 -97.28	 27.68	 15.64
42572251005	 -98.07	 27.73	 14.85
42572251007	 -97.70	 28.45	 13.73
42572253000	 -98.47	 29.53	 12.21
42572253001	 -99.42	 28.03	 14.29
42572253008	 -98.72	 29.80	 10.07
42572253009	 -98.42	 30.10	  9.58
42572254000	 -97.70	 30.30	 11.95
42572254004	 -98.68	 30.75	  9.61
42572255000	 -96.92	 28.85	 13.56
42572255002	 -96.23	 29.05	 12.73
42572255003	 -96.95	 29.47	 12.85
42572256000	 -97.22	 31.62	  9.53
42572256002	 -96.48	 31.68	  9.54
42572257003	 -98.18	 31.05	  8.13
42572257005	 -97.32	 31.08	 10.14
42572259000	 -97.03	 32.90	  8.83
42572259003	 -96.12	 33.15	  7.41
42572259004	 -97.07	 33.63	  6.79
42572260001	 -99.00	 31.72	  8.99
42572260002	 -98.33	 32.10	  7.74
42572262002	-104.23	 32.42	  7.79
42572263000	-100.50	 31.37	   9.0
42572263002	 -99.98	 31.73	  9.58
42572264003	-103.50	 31.42	  8.56
42572265000	-102.18	 31.95	   7.9
42572265001	-102.20	 31.13	  9.74
42572265002	-103.20	 31.78	  8.01
42572265004	-102.67	 32.72	  6.24
42572266000	 -99.68	 32.42	  8.02
42572266003	 -99.75	 33.17	   7.3
42572267000	-101.82	 33.65	   5.7
42572267002	-101.25	 33.65	  5.23
42572268000	-104.53	 33.30	  6.39
42572269001	-106.75	 32.28	  7.89
42572270000	-106.40	 31.80	  9.03
42572271001	-108.15	 32.80	  5.18
42572271002	-107.18	 33.15	  6.24
42572273002	-109.60	 31.47	  8.89
42572273004	-110.05	 31.70	  9.95
42572274000	-110.93	 32.12	 12.39
42572274003	-109.68	 32.82	   8.4
42572278000	-112.02	 33.43	 14.11
42572278004	-110.88	 33.40	  8.99
42572278008	-111.15	 33.67	 10.75
42572278009	-112.73	 33.98	  10.7
42572280001	-114.65	 32.62	 13.69
42572280003	-114.72	 33.62	 13.73
42572281003	-115.55	 32.95	 13.85
42572289001	-118.15	 34.15	  13.7
42572290000	-117.17	 32.73	 14.36
42572290002	-117.10	 32.60	 14.42
42572290003	-117.20	 32.70	 14.01
42572293001	-116.58	 32.98	  5.24
42572295000	-118.27	 33.72	  15.0
42572297002	-117.88	 33.60	 13.67
42572297003	-117.73	 33.67	 14.35
42572297006	-117.78	 33.73	 13.73
42572304000	 -75.55	 35.27	  8.81
42572306000	 -78.78	 35.87	  5.63
42572306001	 -78.35	 35.52	  5.49
42572306002	 -77.95	 35.70	  5.75
42572306003	 -77.53	 35.88	  5.46
42572306005	 -78.32	 36.10	  4.57
42572308000	 -76.20	 36.90	  5.89
42572308002	 -76.20	 36.32	  6.55
42572308004	 -76.28	 36.95	  6.19
42572309001	 -76.88	 34.90	  8.13
42572309003	 -77.53	 35.22	   6.2
42572310001	 -81.77	 33.98	  6.55
42572310002	 -81.02	 33.98	  9.67
42572310003	 -81.42	 34.20	  7.32
42572310005	 -81.08	 34.37	  6.75
42572311000	 -83.32	 33.95	  7.18
42572311001	 -82.72	 33.72	  6.97
42572311002	 -82.58	 34.08	  6.73
42572311003	 -83.85	 34.30	  6.88
42572311004	 -83.32	 34.58	  6.73
42572312000	 -82.22	 34.90	  6.04
42572312001	 -82.20	 34.17	  5.95
42572312003	 -82.03	 34.50	  5.46
42572312004	 -82.67	 34.53	  6.53
42572312005	 -81.52	 34.63	  6.99
42572312006	 -82.82	 34.68	  6.42
42572312007	 -83.08	 34.75	  6.51
42572314000	 -80.93	 35.22	  6.42
42572314001	 -81.03	 34.93	  6.79
42572314002	 -80.50	 34.97	  6.13
42572314005	 -80.88	 35.82	  4.89
42572314006	 -81.53	 35.92	  4.03
42572315000	 -82.55	 35.43	  3.68
42572315001	 -83.18	 35.05	  1.01
42572315002	 -82.45	 35.33	  4.18
42572315003	 -82.97	 35.48	  3.57
42572315005	 -81.68	 35.75	  4.84
42572315008	 -82.40	 36.48	  3.29
42572317000	 -79.95	 36.08	  4.22
42572317001	 -80.48	 35.68	  5.45
42572317003	 -79.70	 36.38	  3.91
42572317004	 -80.62	 36.52	  2.84
42572317005	 -79.38	 36.58	  3.91
42572320003	 -85.62	 34.57	  4.29
42572323001	 -86.77	 34.65	  5.85
42572323004	 -87.77	 35.30	  3.92
42572324000	 -85.20	 35.03	  5.92
42572324002	 -85.80	 35.68	  5.25
42572326000	 -83.98	 35.80	  4.68
42572326002	 -83.20	 35.98	  4.04
42572326003	 -85.13	 36.02	  2.04
42572326005	 -82.98	 36.42	  4.45
42572326007	 -84.17	 36.73	  1.89
42572327000	 -86.68	 36.12	  4.69
42572327001	 -86.80	 35.45	  3.84
42572327002	 -86.37	 35.92	  3.77
42572327004	 -87.38	 36.07	  3.85
42572330003	 -90.97	 36.27	  4.05
42572330005	 -90.82	 36.58	  2.25
42572334000	 -90.00	 35.05	  6.35
42572334003	 -89.43	 34.82	  5.03
42572334004	 -90.00	 34.83	  6.28
42572334006	 -89.67	 35.57	  4.93
42572334008	 -88.83	 35.62	   4.8
42572340000	 -92.25	 34.83	  6.37
42572340001	 -91.27	 33.80	  6.65
42572340004	 -91.18	 34.88	  5.15
42572340006	 -92.47	 35.08	  6.61
42572340007	 -91.28	 35.60	  4.57
42572341001	 -95.52	 34.00	  7.57
42572341002	 -95.63	 34.25	  6.58
42572341003	 -94.27	 34.57	  4.86
42572344000	 -94.37	 35.33	  5.33
42572344001	 -94.62	 35.05	   5.2
42572344003	 -94.17	 36.10	  3.29
42572344004	 -94.45	 36.43	  3.93
42572349001	 -93.65	 35.30	  5.45
42572351000	 -98.48	 33.97	  6.57
42572351001	 -98.00	 34.17	  7.15
42572352001	 -99.68	 34.25	  5.35
42572352003	 -99.33	 34.58	  5.99
42572352005	 -99.43	 34.83	  5.33
42572352007	 -99.80	 35.20	  4.45
42572353000	 -97.60	 35.38	  4.47
42572353001	 -98.32	 35.63	  5.33
42572353002	 -97.90	 35.85	  4.02
42572354004	 -97.45	 35.88	  4.87
42572355001	 -98.45	 34.62	  5.02
42572355003	 -98.57	 35.12	  4.81
42572356000	 -95.88	 36.20	  4.32
42572356001	 -95.58	 36.32	  3.11
42572356002	 -96.35	 36.67	   3.6
42572356003	 -96.00	 36.75	  3.64
42572360002	-104.58	 36.37	  0.85
42572363000	-101.72	 35.22	  3.37
42572363001	-102.25	 35.53	  3.46
42572363002	-100.63	 35.70	  2.28
42572365000	-106.62	 35.05	  4.43
42572365002	-106.75	 34.77	  3.23
42572365007	-106.68	 35.77	  2.09
42572370001	-114.22	 34.22	 13.68
42572370002	-114.62	 34.77	 13.43
42572371002	-112.53	 37.05	  3.37
42572371003	-112.98	 37.22	  6.01
42572371006	-111.60	 37.77	  0.79
42572374000	-110.73	 35.02	  3.14
42572374003	-109.38	 34.52	  2.81
42572374004	-110.17	 34.90	  4.21
42572376002	-112.43	 34.57	  4.18
42572376003	-112.43	 34.65	  4.62
42572376004	-111.70	 35.10	 -0.23
42572376005	-112.18	 35.25	  1.95
42572376006	-111.73	 35.27	 -1.58
42572376007	-112.88	 35.32	  3.97
42572383001	-118.43	 34.70	  8.03
42572383003	-118.75	 35.03	  8.91
42572384000	-119.05	 35.43	 10.29
42572384001	-119.33	 35.60	  9.69
42572386000	-115.17	 36.08	  9.63
42572386001	-114.92	 35.47	  8.49
42572386002	-114.85	 35.98	 10.14
42572389000	-119.72	 36.77	   9.6
42572389001	-119.03	 36.38	 10.03
42572390001	-120.68	 35.63	  9.53
42572390002	-120.63	 35.67	  9.75
42572391003	-119.68	 34.42	 13.48
42572391004	-119.23	 34.45	 11.93
42572394000	-120.45	 34.90	 11.61
42572394002	-120.67	 35.30	 12.34
42572401000	 -77.33	 37.50	  4.09
42572401001	 -77.30	 37.30	  5.78
42572403001	 -78.12	 38.22	  2.06
42572403002	 -78.47	 38.90	  1.11
42572404004	 -76.18	 38.72	  3.26
42572405000	 -77.03	 38.85	  3.25
42572405002	 -77.30	 38.50	  2.55
42572406000	 -76.67	 39.18	  2.03
42572406003	 -76.90	 39.10	  1.97
42572406005	 -76.07	 39.22	  1.67
42572406006	 -76.62	 39.28	  3.47
42572406007	 -76.87	 39.33	  1.33
42572407000	 -74.57	 39.45	  1.39
42572407002	 -75.07	 39.37	  1.71
42572407003	 -74.43	 39.38	  2.83
42572408000	 -75.20	 40.00	  1.82
42572408001	 -75.52	 39.15	  2.81
42572408003	 -75.60	 39.67	  1.19
42572408004	 -75.53	 39.77	  1.07
42572408005	 -74.78	 39.80	  1.43
42572408008	 -74.97	 39.97	  1.86
42572409005	 -74.57	 40.27	   0.3
42572410001	 -78.38	 37.33	  3.01
42572410002	 -79.43	 37.78	  2.31
42572410003	 -78.52	 38.03	   2.9
42572411000	 -79.97	 37.32	  3.11
42572411001	 -79.90	 37.00	  3.07
42572412000	 -81.12	 37.78	  0.84
42572412001	 -81.33	 37.08	 -0.74
42572412002	 -81.22	 37.30	   1.8
42572412004	 -80.40	 37.85	 -0.25
42572414000	 -81.60	 38.37	  2.45
42572414001	 -81.92	 38.53	  1.87
42572414006	 -81.85	 39.65	 -0.57
42572417001	 -78.93	 38.45	  0.43
42572417005	 -80.22	 38.98	  -0.3
42572417006	 -79.67	 39.10	 -0.93
42572417007	 -79.40	 39.40	 -1.55
42572417009	 -78.75	 39.63	  0.51
42572421000	 -84.67	 39.05	  0.16
42572421001	 -84.62	 38.65	  1.65
42572422000	 -84.60	 38.03	  1.66
42572422002	 -84.30	 37.57	  3.19
42572422003	 -84.87	 38.23	  1.15
42572423000	 -85.73	 38.18	  2.46
42572423003	 -86.48	 38.55	 -0.17
42572423004	 -86.08	 38.62	  0.93
42572424001	 -85.50	 37.25	  2.64
42572424002	 -86.30	 37.52	  2.05
42572425000	 -82.55	 38.37	   2.2
42572425003	 -83.55	 38.12	  1.67
42572425004	 -82.62	 38.45	  0.23
42572425005	 -82.88	 38.75	  0.86
42572426001	 -82.98	 39.12	 -0.58
42572426002	 -83.62	 39.20	 -1.09
42572426004	 -82.95	 39.62	 -0.75
42572428000	 -82.88	 40.00	 -0.53
42572428003	 -83.78	 40.10	 -1.79
42572428006	 -83.60	 40.65	 -2.79
42572429000	 -84.20	 39.90	 -1.34
42572429001	 -85.18	 39.87	 -2.86
42572429002	 -84.65	 40.10	 -2.69
42572432000	 -87.53	 38.05	   1.8
42572432002	 -87.88	 37.95	  1.07
42572432003	 -88.50	 38.10	  0.45
42572432004	 -88.87	 38.35	 -0.15
42572432005	 -87.58	 38.35	  1.03
42572432007	 -86.80	 38.67	 -0.27
42572432008	 -88.07	 38.70	  0.55
42572432009	 -87.50	 38.73	 -0.59
42572432010	 -87.62	 39.00	  0.73
42572434000	 -90.37	 38.75	  1.04
42572435000	 -88.77	 37.07	  2.92
42572435001	 -89.05	 36.40	  3.17
42572435003	 -89.23	 37.47	  2.21
42572435004	 -88.52	 37.73	  1.35
42572438000	 -86.27	 39.73	  -1.0
42572438001	 -86.55	 38.88	 -0.77
42572438005	 -85.45	 39.60	 -1.89
42572438006	 -86.85	 39.63	 -1.69
42572438007	 -87.23	 39.77	 -0.69
42572438009	 -86.93	 39.97	 -2.81
42572438010	 -86.35	 40.00	 -1.48
42572438011	 -85.72	 40.10	  -1.9
42572439002	 -89.48	 39.15	 -0.63
42572439003	 -89.87	 39.28	 -0.69
42572439005	 -89.70	 39.80	 -1.63
42572440000	 -93.38	 37.23	  1.85
42572440001	 -93.15	 36.27	  3.77
42572440003	 -94.37	 36.87	  2.07
42572440004	 -94.50	 37.15	  3.11
42572440005	 -93.95	 37.38	  1.39
42572440006	 -94.27	 37.50	  1.47
42572440007	 -94.03	 38.20	 -0.18
42572445000	 -92.22	 38.82	 -0.32
42572445002	 -92.18	 38.58	 -0.09
42572445004	 -92.43	 39.40	 -0.42
42572446005	 -94.33	 38.88	 -1.15
42572446007	 -94.93	 39.32	  0.02
42572449001	 -95.12	 39.57	 -0.44
42572449002	 -95.52	 39.67	 -0.96
42572449004	 -94.68	 40.25	 -3.27
42572450000	 -97.43	 37.65	  0.96
42572450002	 -96.83	 37.82	  1.51
42572451000	 -99.97	 37.77	  0.42
42572451001	-100.53	 36.82	  1.21
42572451005	-100.90	 38.48	 -1.19
42572451006	 -99.33	 38.87	 -1.23
42572452001	 -98.35	 36.77	  3.16
42572455002	 -96.58	 39.20	 -0.23
42572456000	 -95.62	 39.07	 -0.58
42572456001	 -95.28	 38.62	  0.98
42572456004	 -95.27	 38.97	  0.63
42572458000	 -97.65	 39.55	 -1.57
42572458001	 -97.70	 39.13	  0.13
42572460002	-101.62	 36.60	  2.13
42572460003	-102.48	 36.73	   2.8
42572460004	-101.22	 36.87	  1.56
42572460005	-100.92	 37.05	  1.62
42572462000	-105.87	 37.43	 -6.23
42572462001	-104.95	 36.47	  0.73
42572462003	-105.40	 36.70	 -4.15
42572462004	-106.58	 36.92	 -4.41
42572462007	-106.35	 37.67	 -3.81
42572464000	-104.50	 38.28	  -0.4
42572464001	-104.48	 37.17	  2.51
42572464002	-104.33	 37.25	  0.92
42572464003	-103.70	 38.03	  0.73
42572465000	-101.68	 39.37	 -1.34
42572465001	-102.35	 38.82	  0.13
42572465002	-101.80	 39.77	 -1.26
42572465003	-102.23	 40.07	 -1.39
42572466001	-104.72	 38.82	 -0.45
42572469000	-104.87	 39.78	  0.11
42572469001	-106.03	 39.63	 -7.42
42572469007	-105.27	 40.00	  1.05
42572470001	-110.72	 38.37	  0.63
42572470002	-110.17	 39.00	  0.96
42572470003	-111.63	 39.25	 -1.27
42572471002	-112.43	 37.82	 -2.31
42572471003	-112.83	 37.83	 -0.12
42572471007	-112.08	 38.77	  0.01
42572471008	-112.32	 38.95	  0.34
42572476000	-108.53	 39.12	  0.86
42572476001	-107.88	 38.48	 -0.69
42572476006	-108.75	 39.17	  -0.7
42572480004	-118.10	 38.38	  3.23
42572481001	-120.52	 37.28	   9.5
42572483001	-121.77	 38.53	  8.69
42572483003	-121.50	 38.60	  9.53
42572486000	-114.85	 39.28	 -3.04
42572486001	-114.77	 39.40	 -1.79
42572487001	-113.57	 37.12	  7.56
42572487002	-113.92	 37.80	  0.15
42572488000	-119.78	 39.50	  2.57
42572488001	-120.13	 39.17	 -0.54
42572488002	-118.72	 39.42	  2.49
42572488003	-118.78	 39.45	  2.14
42572491004	-122.02	 36.98	 11.24
42572492000	-121.25	 37.90	  9.43
42572494000	-122.38	 37.62	 11.07
42572501003	 -72.30	 40.95	  0.33
42572502002	 -74.40	 40.60	  0.44
42572502003	 -74.17	 40.70	   1.3
42572502005	 -74.43	 41.03	 -2.14
42572502006	 -74.68	 41.38	 -1.84
42572503001	 -73.97	 40.78	   1.5
42572503004	 -73.80	 41.27	 -1.94
42572503005	 -73.97	 41.38	 -1.18
42572504001	 -73.55	 41.13	 -0.37
42572504002	 -73.13	 41.17	  0.06
42572504006	 -74.15	 41.77	 -2.94
42572507002	 -72.05	 41.35	 -0.55
42572507003	 -71.53	 41.48	  -0.5
42572507005	 -70.93	 41.63	 -0.66
42572507006	 -71.43	 41.73	 -0.35
42572507007	 -71.07	 41.90	 -1.15
42572508000	 -72.68	 41.93	 -1.91
42572508003	 -73.37	 41.95	 -3.21
42572508004	 -73.40	 42.18	 -4.78
42572509000	 -71.03	 42.37	 -0.08
42572513000	 -75.73	 41.33	 -1.94
42572514000	 -76.92	 41.25	 -1.99
42572514003	 -77.87	 40.80	 -2.21
42572515000	 -75.98	 42.22	 -4.56
42572515002	 -75.87	 41.83	 -4.81
42572515003	 -76.80	 42.10	 -3.15
42572515006	 -75.53	 42.53	 -4.26
42572515007	 -76.18	 42.60	 -4.56
42572517000	 -75.43	 40.65	 -0.97
42572517001	 -75.93	 40.42	 -0.73
42572517002	 -74.88	 40.57	 -1.13
42572517004	 -75.08	 40.83	 -1.92
42572518000	 -73.80	 42.75	 -3.83
42572518002	 -73.68	 42.75	 -3.73
42572518003	 -73.82	 43.03	 -4.48
42572518004	 -74.35	 43.05	  -6.1
42572518005	 -73.62	 43.35	 -5.72
42572519000	 -76.12	 43.12	 -3.83
42572519002	 -76.50	 43.47	 -3.47
42572520000	 -80.22	 40.50	 -0.76
42572520001	 -79.72	 39.92	 -0.21
42572520002	 -81.00	 40.27	 -1.78
42572521000	 -81.43	 40.92	 -2.24
42572521001	 -81.92	 39.83	 -2.79
42572521003	 -81.87	 40.25	 -0.99
42572521004	 -81.92	 40.55	 -2.53
42572521005	 -80.90	 40.72	 -1.97
42572521006	 -81.92	 40.78	 -2.35
42572523002	 -77.78	 42.25	 -4.92
42572523003	 -78.02	 42.30	 -5.29
42572523004	 -77.35	 42.35	 -4.59
42572523005	 -77.72	 42.57	 -3.56
42572523007	 -77.62	 42.78	 -3.93
42572524000	 -81.87	 41.42	 -1.68
42572524003	 -82.62	 41.27	 -2.65
42572525000	 -80.67	 41.25	 -2.37
42572525001	 -80.37	 41.02	  -1.8
42572525002	 -80.82	 41.20	 -2.56
42572525005	 -79.82	 41.38	 -2.41
42572526000	 -80.18	 42.08	 -1.96
42572526001	 -78.75	 41.42	 -4.11
42572526002	 -79.15	 41.85	 -3.33
42572528000	 -78.73	 42.93	 -3.09
42572528002	 -79.30	 42.45	 -2.13
42572528003	 -78.52	 42.75	 -4.65
42572529001	 -77.03	 42.88	 -4.08
42572529002	 -78.18	 42.98	 -3.63
42572529003	 -77.67	 43.13	 -3.15
42572530000	 -87.90	 42.00	 -3.47
42572530001	 -88.35	 41.75	 -4.36
42572531001	 -88.17	 39.48	  -0.9
